Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
42,"1.39,1.24,0.55,5.63","0.68,0.78,0.91,0.03",0.0,"17405.93,19200.09,22254.63,17235.56"
43,"8.36,3.6,4.51,1.0","0.0,0.12,0.0,1.0",0.0,"17405.93,19077.76,22254.63,16233.98"
44,"2.2,4.88,0.95,1.0","0.35,0.03,0.95,1.0",0.0,"17055.68,19046.78,21301.99,15232.33"
45,"1.0,1.83,1.06,15.51","1.0,0.46,0.89,0.0",0.0,"16059.2,18586.17,20408.65,15232.33"
46,"1.42,1.63,1.23,1.26","0.65,0.53,0.74,0.78",0.0,"15409.65,18056.83,19673.37,14452.45"
47,"3.61,8.34,1.5,1.97","0.12,0.0,0.61,0.43",0.0,"15290.32,18056.83,19064.79,14026.51"
48,"1.0,1.0,3.77,1.0","0.98,0.99,0.0,1.0",0.0,"14313.13,17062.26,19064.79,13026.54"
49,"1.52,1.18,0.49,2.29","0.61,0.82,0.53,0.33",0.0,"13701.37,16237.75,18538.22,12697.39"
50,"1.0,1.74,4.32,1.9","0.99,0.46,0.05,0.45",0.0,"12706.79,15777.42,18490.58,12248.73"
51,"2.73,2.14,0.97,11.2","0.22,0.36,0.99,0.0",0.0,"12484.6,15418.75,17502.17,12248.73"
52,"1.55,4.88,0.99,1.24","0.59,0.0,0.85,0.79",0.0,"11896.35,15418.75,16647.21,11454.67"
53,"0.99,3.33,5.0,1.47","0.89,0.14,0.0,0.65",0.0,"11003.44,15283.29,16647.21,10806.52"
54,"1.23,2.56,0.44,1.06","0.78,0.25,0.47,0.94",0.0,"10224.33,15028.92,16176.36,9863.84"
55,"2.03,0.99,0.98,1.7","0.4,0.98,0.99,0.53",0.0,"9828.68,14053.13,15184.18,9332.36"
56,"1.0,1.62,0.97,1.66","1.0,0.54,0.99,0.55",0.0,"8831.9,13510.93,14189.61,8785.83"
57,"8.99,1.45,0.96,13.1","0.0,0.6,0.95,0.0",0.0,"8831.9,12907.52,13239.33,8785.83"
58,"1.0,0.99,3.05,11.04","0.95,0.96,0.0,0.0",0.0,"7881.79,11946.57,13239.33,8785.83"
59,"2.3,1.47,1.04,14.03","0.3,0.64,0.85,0.0",0.0,"7583.27,11305.11,12386.87,8785.83"
60,"1.0,1.18,4.72,1.41","0.97,0.83,0.0,0.68",0.0,"6617.08,10473.98,12386.87,8103.07"
61,"10.12,2.77,3.05,1.56","0.0,0.22,0.0,0.6",0.0,"6617.08,10254.62,12386.87,7507.34"
62,"2.46,6.79,2.73,2.22","0.27,0.0,0.16,0.35",0.0,"6351.91,10254.62,12227.71,7157.64"
63,"9.98,2.45,2.07,3.81","0.0,0.28,0.34,0.11",0.0,"6351.91,9975.19,11883.57,7050.96"
64,"1.62,1.03,0.95,14.3","0.55,0.96,1.0,0.0",0.0,"5803.33,9017.3,10883.56,7050.96"
65,"1.33,1.52,1.17,2.57","0.72,0.61,0.66,0.27",0.0,"5081.06,8403.2,10227.91,6784.42"
66,"1.6,1.25,4.98,6.85","0.52,0.77,0.02,0.01",0.0,"4561.17,7632.43,10205.92,6771.95"
67,"2.63,2.25,1.12,2.49","0.25,0.3,0.87,0.28",0.0,"4312.28,7330.08,9334.48,6489.46"
68,"2.15,7.87,1.41,3.01","0.35,0.0,0.46,0.19",0.0,"3964.15,7330.08,8870.82,6297.65"
69,"0.99,7.79,0.33,1.0","0.99,0.0,1.0,1.0",0.0,"2978.75,7330.08,7872.51,5296.0"
70,"1.1,1.0,1.74,14.32","0.9,0.98,0.45,0.0",0.0,"2083.22,6352.73,7421.56,5296.0"
71,"7.58,1.19,1.6,1.45","0.0,0.76,0.55,0.66",0.0,"2083.22,5591.35,6872.8,4636.98"
72,"1.81,9.92,1.09,4.06","0.47,0.0,0.89,0.09",0.0,"1611.78,5591.35,5978.09,4548.02"
73,"2.97,8.21,1.14,1.0","0.11,0.0,0.52,1.0",0.0,"1505.37,5591.35,5455.0,3547.39"
74,"1.12,4.59,1.93,1.67","0.85,0.06,0.39,0.54",0.0,"655.1,5534.26,5061.87,3005.41"
75,"1.15,5.42,1.18,1.46","0.86,0.0,0.82,0.65",0.25,"0.0,5534.26,4242.71,2351.95"
76,"10.01,1.33,4.0,1.58","0.0,0.7,0.0,0.59",0.25,"0.0,4831.06,4242.71,1765.57"
77,"8.38,1.34,1.09,1.35","0.0,0.68,0.88,0.72",0.25,"0.0,4148.29,3360.71,1047.56"
